# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalBytesRequested,1785614955127000000,1785614963893000000,32768
FilePageCacheLockFree.totalNativeBytesReclaimed,1785614955127000000,1785614963893000000,16384
FilePageCache.totalPageLoadsUs,1785614955127000000,1785614963893000000,144166
DirectByteBufferAllocator.misses,1785614955127000000,1785614963893000000,206
StorageLockContext.competingThreads.max,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.totalPagesAllocated,1785614955127000000,1785614963893000000,2
FilePageCacheLockFree.totalBytesRead,1785614955127000000,1785614963893000000,5617
FilePageCacheLockFree.housekeeperTimeSpentMs,1785614955127000000,1785614963893000000,43
StorageLockContext.competingThreads.90P,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1785614955127000000,1785614963893000000,0
FilePageCache.maxCacheSizeInBytes,1785614955127000000,1785614963893000000,213909504
FilePageCache.disposedBuffers,1785614955127000000,1785614963893000000,207
DirectByteBufferAllocator.hits,1785614955127000000,1785614963893000000,3
FilePageCache.uncachedFileAccess,1785614955127000000,1785614963893000000,109
FilePageCacheLockFree.heapBytesInUse,1785614955127000000,1785614963893000000,0
FilePageCache.capacityInBytes,1785614955127000000,1785614963893000000,503316478
MappedFileStorage.storages,1785614955127000000,1785614963893000000,0
FilePageCache.maxRegisteredFiles,1785614955127000000,1785614963893000000,529
DirectByteBufferAllocator.reclaimed,1785614955127000000,1785614963893000000,45
StorageLockContext.competingThreads.avg,1785614955127000000,1785614963893000000,0.0
DirectByteBufferAllocator.disposed,1785614955127000000,1785614963893000000,164
FilePageCacheLockFree.totalPagesWriteMs,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.totalPagesHandedOver,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1785614955127000000,1785614963893000000,16384
FilePageCache.totalPageDisposalsUs,1785614955127000000,1785614963893000000,3929
MappedFileStorage.totalTimeSpentOnMappingUs,1785614955127000000,1785614963893000000,19415
FilePageCache.pageLoadsAboveSizeThreshold,1785614955127000000,1785614963893000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1785614955127000000,1785614963893000000,7851
